"names","links"
"The Psychology of Human Misjudgment, by Charlie Munger","https://fs.blog/great-talks/psychology-human-misjudgment/"
"Charlie Munger: 20 Book Recommendations That will Make you Smarter","https://fs.blog/2014/06/charlie-munger-recommended-books/"
"Paul Graham","http://paulgraham.com/"
"Jonathan David Church","http://www.jonathandavidchurch.com/publications"
"Scientific knowledge is drowning in a flood of research","https://massivesci.com/articles/chaos-in-the-brickyard-comic-matteo-farinella/?utm_source=drip&utm_medium=email&utm_campaign=Massive+Science+Newsletter&utm_content=Welcome+to+Massive+Science"
"The Best of Farnam Street 2019","https://fs.blog/2019/12/best-of-farnam-street-2019/"
"The American AI Century: A Blueprint for Action | Center for a New American Security","https://www.cnas.org/publications/reports/the-american-ai-century-a-blueprint-for-action"
"50 Profound Quotes from ""The Lessons of History""","https://www.sloww.co/lessons-of-history-quotes/?ck_subscriber_id=700741079"
"MEGATHREAD: 40 powerful concepts for understanding the world","https://twitter.com/G_S_Bhogal/status/1225561131122597896"
"Social prescribing as an important aid for depression and anxiety","https://www.ted.com/talks/johann_hari_this_could_be_why_you_re_depressed_or_anxious"
"The Work Required to Have an Opinion","https://fs.blog/2013/04/the-work-required-to-have-an-opinion/"
"How to Find Meaning with ""Man's Search for Meaning"" (+ 2 Infographics) | Sloww","https://www.sloww.co/mans-search-for-meaning-book-how-to/?ck_subscriber_id=700741079"
"Discover what your driving force is","https://core.tonyrobbins.com/driving-force-6/human-needs/builder-2522V-207FX.html?"
"How Data Analysts Can Benefit from Project Management Techniques","https://www.northeastern.edu/graduate/blog/data-analyst-and-project-management/"
"Famous Speeches: A List of the Greatest Speeches of All-Time","https://jamesclear.com/great-speeches"
"AskNature","https://asknature.org/"
"Our Favorite Farnam Street Posts From 2020","https://fs.blog/2020/12/2020-highlights/"
"Music Thoughts","https://musicthoughts.com/"
"Aristotle vs Plato","https://www.diffen.com/difference/Aristotle_vs_Plato"
"Nightingale Visualisation","https://medium.com/nightingale"
"Earth","https://earth.nullschool.net/"
"The Best of Goethe's Aphorisms","https://fs.blog/2019/10/the-best-of-goethes-aphorisms/"
"Meditations by Marcus Aurelius","https://dailystoic.com/meditations-marcus-aurelius/?utm_source=convertkit&utm_medium=convertkit&utm_campaign=think-for-yourself"
"Slow Living","https://www.sloww.co/200-posts-summary/?ck_subscriber_id=700741079"
"3 Profound Life Lessons from 'This is Water' by David Foster Wallace","https://www.sloww.co/this-is-water-david-foster-wallace/"
"I had an Existential Crisis!","https://www.sloww.co/existential-crisis/"
"A Simple Wellness Strategy: MEDS","https://www.sloww.co/meds/"
"The most popular TED talks of all time","https://www.ted.com/playlists/171/the_most_popular_talks_of_all"
"Wisdom for living with death and loss","https://www.ted.com/playlists/776/wisdom_for_living_with_death_and_loss"
"Our brains: predictably irrational","https://www.ted.com/playlists/74/our_brains_predictably_irrati"
"Dilbert","https://dilbert.com/"
"How to think for yourself","http://paulgraham.com/think.html"
"Billionaires build","http://paulgraham.com/ace.html"
"What you'll wish you'd known","http://paulgraham.com/hs.html"
"Colin Kaepernick and a False Dichotomy","https://merionwest.com/2020/06/06/colin-kaepernick-and-the-false-dichotomy-between-nationalism-and-patriotism/"
"It's Westworld. What's Wrong With Cruelty to Robots?","https://www.nytimes.com/2018/04/23/opinion/westworld-conscious-robots-morality.html?utm_source=Sam+Harris+Newsletter&utm_campaign=7003ba28a2-EMAIL_CAMPAIGN_2018_04_23&utm_medium=email&utm_term=0_f1c2a2c9db-7003ba28a2-&mc_cid=7003ba28a2&mc_eid=[UNIQID]"
"Memorable memes","https://samharris.org/blog?taxonomy=post_tag&filter=memes"
"When the Brain Won't Change Its Mind","https://samharris.org/when-the-brain-wont-change-its-mind/"
"Should America's Future be More Capitalist or More Socialist?","https://commonlodge.substack.com/p/should-americas-future-be-more-capitalist"
"Farnam Street Blog","https://fs.blog/blog/"
"Moralizing Everything","https://zeynep.substack.com/p/moralizing-everything"
"Balancing Epistemic Humility and Prior Knowledge","https://zeynep.substack.com/p/balancing-epistemic-humility-and"
"Why You Should Take Any Vaccine","https://zeynep.substack.com/p/why-you-should-take-any-vaccine"
"68 Bits of Unsolicited Advice","https://kk.org/thetechnium/68-bits-of-unsolicited-advice/"
"Dumbsmart","https://kk.org/thetechnium/dumbsmart/"
"AI, or Alien Intelligence","https://kk.org/thetechnium/ai-or-alien-intelligence/"
"The Burden of Skepticism","https://skepticalinquirer.org/1987/10/the-burden-of-skepticism/"
"Amazon Go and the Future","https://stratechery.com/2018/amazon-go-and-the-future/"
"Messaging: Mobile's Killer App","https://stratechery.com/2014/messaging-mobiles-killer-app/"
"Disney's Choice","https://stratechery.com/2017/disneys-choice/"
"Mistakes and Memes","https://stratechery.com/2021/mistakes-and-memes/"
"Social Networking 2.0","https://stratechery.com/2020/social-networking-2-0/"
"The Relentless Jeff Bezos","https://stratechery.com/2021/the-relentless-jeff-bezos/"
"Plastic trash can now be recycled into ultra-strong graphene","https://massivesci.com/articles/plastic-recycling-graphene-flash-joule-heating/?utm_source=drip&utm_medium=email&utm_campaign=Stop+recycling+%28Weekend+Reads+02-12-21%29&utm_content=Beyond+recycling+%E2%99%BB%EF%B8%8F"